eventName,id,eventId,runners,path
USA v Netherlands,1.232006967,33507953,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 891555, 'name': 'USA'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 228749, 'name': 'Netherlands'}],hist_data/ADVANCED/2024/Aug/19/33507953/1.232006967
Boca Raton Trailblazers v Grand Cayman Stingrays,1.232011680,33507998,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 72857114, 'name': 'Boca Raton Trailblazers'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 72857116, 'name': 'Grand Cayman Stingrays'}],hist_data/ADVANCED/2024/Aug/19/33507998/1.232011680
Caribbean Giants v Miami Lions,1.232011572,33507999,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 72857117, 'name': 'Caribbean Giants'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 72857115, 'name': 'Miami Lions'}],hist_data/ADVANCED/2024/Aug/19/33507999/1.232011572
New York Strikers v Miami Lions,1.232011465,33507997,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 67083366, 'name': 'New York Strikers'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 72857115, 'name': 'Miami Lions'}],hist_data/ADVANCED/2024/Aug/19/33507997/1.232011465
Netherlands v USA,1.231771706,33490719,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 228749, 'name': 'Netherlands'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 891555, 'name': 'USA'}],hist_data/ADVANCED/2024/Aug/19/33490719/1.231771706
Canada v USA,1.231894482,33501041,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 144197, 'name': 'Canada'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 891555, 'name': 'USA'}],hist_data/ADVANCED/2024/Aug/19/33501041/1.231894482
Southern Vipers v The Blaze,1.232012579,33508012,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 11445382, 'name': 'Southern Vipers'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 54937156, 'name': 'The Blaze'}],hist_data/ADVANCED/2024/Aug/26/33508012/1.232012579
Western Storm v Central Sparks,1.232013126,33508015,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 11445383, 'name': 'Western Storm'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 35736915, 'name': 'Central Sparks'}],hist_data/ADVANCED/2024/Aug/26/33508015/1.232013126
Guyana Amazon Warriors W v Trinidad K Riders W,1.232220900,33523125,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 47674068, 'name': 'Guyana Amazon Warriors W'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 73038264, 'name': 'Trinidad K Riders W'}],hist_data/ADVANCED/2024/Aug/26/33523125/1.232220900
South East Stars v North West Thunder,1.232012797,33508011,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 35736920, 'name': 'South East Stars'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 60190395, 'name': 'North West Thunder'}],hist_data/ADVANCED/2024/Aug/26/33508011/1.232012797
Sunrisers v Northern Diamonds,1.232012908,33508010,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 23387705, 'name': 'Sunrisers'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 35736916, 'name': 'Northern Diamonds'}],hist_data/ADVANCED/2024/Aug/26/33508010/1.232012908
Canada v Netherlands,1.232258042,33525516,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 144197, 'name': 'Canada'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 228749, 'name': 'Netherlands'}],hist_data/ADVANCED/2024/Aug/26/33525516/1.232258042
Hong Kong v Malaysia,1.232251555,33525294,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 247649, 'name': 'Hong Kong'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 2857968, 'name': 'Malaysia'}],hist_data/ADVANCED/2024/Aug/26/33525294/1.232251555
Welsh Fire v Northern Superchargers,1.231502182,33472587,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 26354927, 'name': 'Welsh Fire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 26354924, 'name': 'Northern Superchargers'}],hist_data/ADVANCED/2024/Aug/8/33472587/1.231502182
Welsh Fire Women v Northern Superchargers Women,1.231501647,33472580,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 40096581, 'name': 'Welsh Fire Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 40096589, 'name': 'Northern Superchargers Women'}],hist_data/ADVANCED/2024/Aug/8/33472580/1.231501647
Oval Invincibles v Southern Brave,1.231502049,33472592,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 26354923, 'name': 'Oval Invincibles'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 26354926, 'name': 'Southern Brave'}],hist_data/ADVANCED/2024/Aug/8/33472592/1.231502049
Warwickshire v Glamorgan,1.231447835,33468175,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 2120, 'name': 'Warwickshire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 169, 'name': 'Glamorgan'}],hist_data/ADVANCED/2024/Aug/8/33468175/1.231447835
Netherlands Women v Scotland Women,1.231499799,33472077,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 25686043, 'name': 'Netherlands Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 12482925, 'name': 'Scotland Women'}],hist_data/ADVANCED/2024/Aug/8/33472077/1.231499799
Yorkshire v Leicestershire,1.231501225,33472291,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 655, 'name': 'Yorkshire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 31377, 'name': 'Leicestershire'}],hist_data/ADVANCED/2024/Aug/8/33472291/1.231501225
Lancashire v Middlesex,1.231501640,33472583,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 424679, 'name': 'Lancashire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 31378, 'name': 'Middlesex'}],hist_data/ADVANCED/2024/Aug/8/33472583/1.231501640
Oval Invincibles Women v Southern Brave Women,1.231501844,33472590,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 40096582, 'name': 'Oval Invincibles Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 40096579, 'name': 'Southern Brave Women'}],hist_data/ADVANCED/2024/Aug/8/33472590/1.231501844
Caribbean Giants v Grand Cayman Stingrays,1.232050243,33511212,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 72857117, 'name': 'Caribbean Giants'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 72857116, 'name': 'Grand Cayman Stingrays'}],hist_data/ADVANCED/2024/Aug/21/33511212/1.232050243
Czechia v Denmark,1.231812437,33494715,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 60971788, 'name': 'Czechia'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 206388, 'name': 'Denmark'}],hist_data/ADVANCED/2024/Aug/21/33494715/1.231812437
New York Strikers v Miami Lions,1.232049325,33511213,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 67083366, 'name': 'New York Strikers'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 72857115, 'name': 'Miami Lions'}],hist_data/ADVANCED/2024/Aug/21/33511213/1.232049325
Kuwait v Hong Kong,1.232048439,33511327,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 8858694, 'name': 'Kuwait'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 247649, 'name': 'Hong Kong'}],hist_data/ADVANCED/2024/Aug/21/33511327/1.232048439
Munster Reds v Northern Knights,1.231845460,33497364,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 19587212, 'name': 'Munster Reds'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 6847357, 'name': 'Northern Knights'}],hist_data/ADVANCED/2024/Aug/21/33497364/1.231845460
Cyprus v Spain,1.232013796,33508162,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 61422697, 'name': 'Cyprus'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 24640635, 'name': 'Spain'}],hist_data/ADVANCED/2024/Aug/21/33508162/1.232013796
New York Strikers v Boca Raton Trailblazers,1.232048948,33511211,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 67083366, 'name': 'New York Strikers'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 72857114, 'name': 'Boca Raton Trailblazers'}],hist_data/ADVANCED/2024/Aug/21/33511211/1.232048948
Finland v Malta,1.231812465,33494773,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 48610314, 'name': 'Finland'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 48800301, 'name': 'Malta'}],hist_data/ADVANCED/2024/Aug/21/33494773/1.231812465
Guernsey v Bulgaria,1.232013794,33508163,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 61077257, 'name': 'Guernsey'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 61077258, 'name': 'Bulgaria'}],hist_data/ADVANCED/2024/Aug/21/33508163/1.232013794
Caribbean Giants v Miami Lions,1.232048715,33511210,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 72857117, 'name': 'Caribbean Giants'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 72857115, 'name': 'Miami Lions'}],hist_data/ADVANCED/2024/Aug/21/33511210/1.232048715
Netherlands v USA,1.232027547,33509597,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 228749, 'name': 'Netherlands'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 891555, 'name': 'USA'}],hist_data/ADVANCED/2024/Aug/21/33509597/1.232027547
Maldives v Singapore,1.232459454,33540029,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 8858707, 'name': 'Maldives'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 7587363, 'name': 'Singapore'}],hist_data/ADVANCED/2024/Aug/31/33540029/1.232459454
The Blaze v Sunrisers,1.232283788,33527244,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 54937156, 'name': 'The Blaze'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 23387705, 'name': 'Sunrisers'}],hist_data/ADVANCED/2024/Aug/31/33527244/1.232283788
South East Stars v Western Storm,1.232283786,33527252,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 35736920, 'name': 'South East Stars'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 11445383, 'name': 'Western Storm'}],hist_data/ADVANCED/2024/Aug/31/33527252/1.232283786
Hong Kong v Mongolia,1.232462894,33540261,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 247649, 'name': 'Hong Kong'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 61044843, 'name': 'Mongolia'}],hist_data/ADVANCED/2024/Aug/31/33540261/1.232462894
Malaysia v Myanmar,1.232460189,33540053,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 2857968, 'name': 'Malaysia'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 73094924, 'name': 'Myanmar'}],hist_data/ADVANCED/2024/Aug/31/33540053/1.232460189
Antigua And Barbuda Falcons v Guyana Amazon Warrio,1.232419454,33537100,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 73076816, 'name': 'Antigua And Barbuda Falcons'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 20343075, 'name': 'Guyana Amazon Warriors'}],hist_data/ADVANCED/2024/Aug/31/33537100/1.232419454
Kuwait v Mongolia,1.232283863,33527219,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 8858694, 'name': 'Kuwait'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 61044843, 'name': 'Mongolia'}],hist_data/ADVANCED/2024/Aug/30/33527219/1.232283863
Antigua And Barbuda Falcons v St. Kitts and Nevis ,1.232265011,33525842,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 73076816, 'name': 'Antigua And Barbuda Falcons'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 73076870, 'name': 'St. Kitts and Nevis'}],hist_data/ADVANCED/2024/Aug/30/33525842/1.232265011
Malaysia v Maldives,1.232283868,33527208,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 2857968, 'name': 'Malaysia'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 8858707, 'name': 'Maldives'}],hist_data/ADVANCED/2024/Aug/30/33527208/1.232283868
Hong Kong v Myanmar,1.232283837,33527214,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 247649, 'name': 'Hong Kong'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 73094924, 'name': 'Myanmar'}],hist_data/ADVANCED/2024/Aug/30/33527214/1.232283837
Central Sparks v Southern Vipers,1.232283784,33527241,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 35736915, 'name': 'Central Sparks'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 11445382, 'name': 'Southern Vipers'}],hist_data/ADVANCED/2024/Aug/30/33527241/1.232283784
Hong Kong v Kuwait,1.232184480,33520609,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 247649, 'name': 'Hong Kong'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 8858694, 'name': 'Kuwait'}],hist_data/ADVANCED/2024/Aug/24/33520609/1.232184480
USA v Canada,1.232160907,33518099,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 891555, 'name': 'USA'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 144197, 'name': 'Canada'}],hist_data/ADVANCED/2024/Aug/24/33518099/1.232160907
Trinidad Knight Riders Women v Guyana Amazon Warri,1.232196998,33520514,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 72963954, 'name': 'Trinidad Knight Riders W'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 60191231, 'name': 'Guyana Amazon W'}],hist_data/ADVANCED/2024/Aug/24/33520514/1.232196998
Bulgaria v Estonia,1.232130684,33517182,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 61077258, 'name': 'Bulgaria'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 11392436, 'name': 'Estonia'}],hist_data/ADVANCED/2024/Aug/24/33517182/1.232130684
Denmark v Spain,1.232131052,33517239,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 206388, 'name': 'Denmark'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 24640635, 'name': 'Spain'}],hist_data/ADVANCED/2024/Aug/24/33517239/1.232131052
Boca Raton Trailblazers v New York Strikers,1.232215600,33522473,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 72857114, 'name': 'Boca Raton Trailblazers'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 67083366, 'name': 'New York Strikers'}],hist_data/ADVANCED/2024/Aug/24/33522473/1.232215600
Grand Cayman Stingrays v New York Strikers,1.232215494,33522474,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 72857116, 'name': 'Grand Cayman Stingrays'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 67083366, 'name': 'New York Strikers'}],hist_data/ADVANCED/2024/Aug/24/33522474/1.232215494
Cyprus v Greece,1.232130558,33517162,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 61422697, 'name': 'Cyprus'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 60971786, 'name': 'Greece'}],hist_data/ADVANCED/2024/Aug/24/33517162/1.232130558
Grand Cayman Stingrays v Boca Raton Trailblazers,1.232215547,33522475,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 72857116, 'name': 'Grand Cayman Stingrays'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 72857114, 'name': 'Boca Raton Trailblazers'}],hist_data/ADVANCED/2024/Aug/24/33522475/1.232215547
Guernsey v Finland,1.232132831,33517394,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 61077257, 'name': 'Guernsey'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 48610314, 'name': 'Finland'}],hist_data/ADVANCED/2024/Aug/24/33517394/1.232132831
West Indies v South Africa,1.231956621,33504815,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 235, 'name': 'West Indies'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 349, 'name': 'South Africa'}],hist_data/ADVANCED/2024/Aug/23/33504815/1.231956621
New York Strikers v Boca Raton Trailblazers,1.232207311,33521968,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 67083366, 'name': 'New York Strikers'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 72857114, 'name': 'Boca Raton Trailblazers'}],hist_data/ADVANCED/2024/Aug/23/33521968/1.232207311
Netherlands v Canada,1.232056652,33511969,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 228749, 'name': 'Netherlands'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 144197, 'name': 'Canada'}],hist_data/ADVANCED/2024/Aug/23/33511969/1.232056652
Trinidad Knight Riders W v Barbados Royals W,1.232135506,33516557,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 72963954, 'name': 'Trinidad Knight Riders W'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 47674067, 'name': 'Barbados Royals W'}],hist_data/ADVANCED/2024/Aug/23/33516557/1.232135506
Hong Kong v Malaysia,1.232135082,33517477,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 247649, 'name': 'Hong Kong'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 2857968, 'name': 'Malaysia'}],hist_data/ADVANCED/2024/Aug/23/33517477/1.232135082
Caribbean Tigers v Boca Raton Trailblazers,1.232129550,33516975,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 72922097, 'name': 'Caribbean Tigers'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 72857114, 'name': 'Boca Raton Trailblazers'}],hist_data/ADVANCED/2024/Aug/23/33516975/1.232129550
Miami Lions v Grand Cayman Stingrays,1.232174751,33519697,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 72857115, 'name': 'Miami Lions'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 72857116, 'name': 'Grand Cayman Stingrays'}],hist_data/ADVANCED/2024/Aug/23/33519697/1.232174751
Essex v Glamorgan,1.231355726,33463142,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 31376, 'name': 'Essex'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 169, 'name': 'Glamorgan'}],hist_data/ADVANCED/2024/Aug/4/33463142/1.231355726
London Spirit v Oval Invincibles,1.231345275,33462715,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 26354928, 'name': 'London Spirit'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 26354923, 'name': 'Oval Invincibles'}],hist_data/ADVANCED/2024/Aug/4/33462715/1.231345275
Northern Superchargers v Manchester Originals,1.231345620,33462723,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 26354924, 'name': 'Northern Superchargers'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 26354922, 'name': 'Manchester Originals'}],hist_data/ADVANCED/2024/Aug/4/33462723/1.231345620
Kent v Middlesex,1.231284929,33458219,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 5901, 'name': 'Kent'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 31378, 'name': 'Middlesex'}],hist_data/ADVANCED/2024/Aug/4/33458219/1.231284929
Sri Lanka v India,1.231371294,33462952,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 7337, 'name': 'Sri Lanka'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 414464, 'name': 'India'}],hist_data/ADVANCED/2024/Aug/4/33462952/1.231371294
Surrey v Nottinghamshire,1.231344826,33462739,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 424676, 'name': 'Surrey'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 2780, 'name': 'Nottinghamshire'}],hist_data/ADVANCED/2024/Aug/4/33462739/1.231344826
Lyca Kovai Kings v Dindigul Dragons,1.231377396,33463788,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 11653069, 'name': 'Lyca Kovai Kings'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 11674133, 'name': 'Dindigul Dragons'}],hist_data/ADVANCED/2024/Aug/4/33463788/1.231377396
London Spirit Women v Oval Invincibles Women,1.231336323,33462068,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 40096576, 'name': 'London Spirit Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 40096582, 'name': 'Oval Invincibles Women'}],hist_data/ADVANCED/2024/Aug/4/33462068/1.231336323
Northern Superchargers W v Manchester Originals W,1.231397068,33462721,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 40380900, 'name': 'Northern Superchargers W'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 40296818, 'name': 'Manchester Originals W'}],hist_data/ADVANCED/2024/Aug/4/33462721/1.231397068
Hampshire v Lancashire,1.231344144,33462710,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 3961, 'name': 'Hampshire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 424679, 'name': 'Lancashire'}],hist_data/ADVANCED/2024/Aug/4/33462710/1.231344144
Gloucestershire v Warwickshire,1.231344137,33462743,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 2219, 'name': 'Gloucestershire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 2120, 'name': 'Warwickshire'}],hist_data/ADVANCED/2024/Aug/4/33462743/1.231344137
Brampton Wolves v Surrey Jaguars,1.231395388,33464867,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 25173012, 'name': 'Brampton Wolves'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 58385184, 'name': 'Surrey Jaguars'}],hist_data/ADVANCED/2024/Aug/4/33464867/1.231395388
Somerset v Derbyshire,1.231342129,33462590,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 5995, 'name': 'Somerset'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 31375, 'name': 'Derbyshire'}],hist_data/ADVANCED/2024/Aug/4/33462590/1.231342129
Montreal Tigers v Vancouver Knights,1.231395459,33464866,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 19144241, 'name': 'Montreal Tigers'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 19144239, 'name': 'Vancouver Knights'}],hist_data/ADVANCED/2024/Aug/4/33464866/1.231395459
Northamptonshire v Worcestershire,1.231344548,33462734,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 475559, 'name': 'Northamptonshire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 31372, 'name': 'Worcestershire'}],hist_data/ADVANCED/2024/Aug/4/33462734/1.231344548
Sussex v Leicestershire,1.231344876,33462684,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 31379, 'name': 'Sussex'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 31377, 'name': 'Leicestershire'}],hist_data/ADVANCED/2024/Aug/4/33462684/1.231344876
Papua New Guinea Women v Scotland Women,1.231815703,33495145,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 12474498, 'name': 'Papua New Guinea Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 12482925, 'name': 'Scotland Women'}],hist_data/ADVANCED/2024/Aug/15/33495145/1.231815703
North-West Warriors v Northern Knights,1.231802577,33494063,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 25651861, 'name': 'North-West Warriors'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 6847357, 'name': 'Northern Knights'}],hist_data/ADVANCED/2024/Aug/15/33494063/1.231802577
Birmingham Phoenix v Manchester Originals,1.231737525,33488511,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 26354921, 'name': 'Birmingham Phoenix'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 26354922, 'name': 'Manchester Originals'}],hist_data/ADVANCED/2024/Aug/15/33488511/1.231737525
Birmingham Phoenix W v Manchester Originals W,1.231732748,33488437,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 40296819, 'name': 'Birmingham Phoenix W'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 40296818, 'name': 'Manchester Originals W'}],hist_data/ADVANCED/2024/Aug/15/33488437/1.231732748
Toronto Nationals v Vancouver Knights,1.231361532,33463378,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 19144236, 'name': 'Toronto Nationals'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 19144239, 'name': 'Vancouver Knights'}],hist_data/ADVANCED/2024/Aug/3/33463378/1.231361532
Birmingham Phoenix Women v Southern Brave Women,1.231314218,33460486,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 40096575, 'name': 'Birmingham Phoenix Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 40096579, 'name': 'Southern Brave Women'}],hist_data/ADVANCED/2024/Aug/3/33460486/1.231314218
Birmingham Phoenix v Southern Brave,1.231315504,33460487,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 26354921, 'name': 'Birmingham Phoenix'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 26354926, 'name': 'Southern Brave'}],hist_data/ADVANCED/2024/Aug/3/33460487/1.231315504
Trent Rockets Women v Welsh Fire Women,1.231314290,33460494,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 40096580, 'name': 'Trent Rockets Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 40096581, 'name': 'Welsh Fire Women'}],hist_data/ADVANCED/2024/Aug/3/33460494/1.231314290
Trent Rockets v Welsh Fire,1.231315432,33460495,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 26354925, 'name': 'Trent Rockets'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 26354927, 'name': 'Welsh Fire'}],hist_data/ADVANCED/2024/Aug/3/33460495/1.231315432
Brampton Wolves v Mississauga Bangla Tigers,1.231282333,33457836,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 25173012, 'name': 'Brampton Wolves'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 71847983, 'name': 'Mississauga Bangla Tigers'}],hist_data/ADVANCED/2024/Aug/3/33457836/1.231282333
Netherlands Women v Scotland Women,1.231613197,33480110,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 25686043, 'name': 'Netherlands Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 12482925, 'name': 'Scotland Women'}],hist_data/ADVANCED/2024/Aug/12/33480110/1.231613197
Birmingham Phoenix v Trent Rockets,1.231661434,33483444,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 26354921, 'name': 'Birmingham Phoenix'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 26354925, 'name': 'Trent Rockets'}],hist_data/ADVANCED/2024/Aug/12/33483444/1.231661434
Birmingham Phoenix Women v Trent Rockets Women,1.231659675,33483325,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 40096575, 'name': 'Birmingham Phoenix Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 40096580, 'name': 'Trent Rockets Women'}],hist_data/ADVANCED/2024/Aug/12/33483325/1.231659675
Oval Invincibles v Northern Superchargers,1.231243232,33455130,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 26354923, 'name': 'Oval Invincibles'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 26354924, 'name': 'Northern Superchargers'}],hist_data/ADVANCED/2024/Aug/2/33455130/1.231243232
