timestamp,event_type_id,event_type_name,arb_count,daily_arb_count,weekly_arb_count,interval_seconds
2026-04-18T17:50:19.552495+00:00,4,Unknown,0,15,15,20
2026-04-18T17:50:41.242378+00:00,4,Unknown,0,15,15,20
2026-04-18T17:51:02.840491+00:00,4,Unknown,0,15,15,20
2026-04-18T17:51:09.486026+00:00,2,Tennis,1,4,4,150
2026-04-18T17:51:12.481803+00:00,1,Soccer,0,0,0,250
2026-04-18T17:51:12.562737+00:00,3,Cricket,0,0,0,250
2026-04-18T17:51:13.009726+00:00,5,Unknown,0,0,0,250
2026-04-18T17:51:13.233158+00:00,6,Unknown,0,0,0,250
2026-04-18T17:51:13.312726+00:00,7,Unknown,0,0,0,250
2026-04-18T17:51:13.398685+00:00,8,Unknown,0,0,0,250
2026-04-18T17:51:13.473290+00:00,10,Unknown,0,0,0,250
2026-04-18T17:51:13.566486+00:00,11,Unknown,0,0,0,250
2026-04-18T17:51:24.397421+00:00,4,Unknown,0,15,15,20
2026-04-18T17:51:45.988402+00:00,4,Unknown,0,15,15,20
2026-04-18T17:52:07.605343+00:00,4,Unknown,0,15,15,20
2026-04-18T17:52:29.221854+00:00,4,Unknown,0,15,15,20
2026-04-18T17:52:50.875488+00:00,4,Unknown,0,15,15,20
2026-04-18T17:53:12.469280+00:00,4,Unknown,0,15,15,20
2026-04-18T17:53:34.144819+00:00,4,Unknown,0,15,15,20
2026-04-18T17:53:40.889445+00:00,2,Tennis,1,5,5,25
2026-04-18T17:53:55.784319+00:00,4,Unknown,0,15,15,20
2026-04-18T17:54:07.296509+00:00,2,Tennis,1,6,6,25
2026-04-18T17:54:17.519603+00:00,4,Unknown,0,15,15,20
2026-04-18T17:54:33.708074+00:00,2,Tennis,1,7,7,25
2026-04-18T17:54:39.091125+00:00,4,Unknown,0,15,15,20
2026-04-18T17:55:00.154853+00:00,2,Tennis,1,8,8,25
2026-04-18T17:55:01.807012+00:00,4,Unknown,0,15,15,20
2026-04-18T17:55:23.382010+00:00,4,Unknown,0,15,15,20
2026-04-18T17:55:26.502329+00:00,1,Soccer,0,0,0,250
2026-04-18T17:55:26.574331+00:00,3,Cricket,0,0,0,250
2026-04-18T17:55:27.021730+00:00,5,Unknown,0,0,0,250
2026-04-18T17:55:27.237601+00:00,6,Unknown,0,0,0,250
2026-04-18T17:55:27.308825+00:00,7,Unknown,0,0,0,250
2026-04-18T17:55:28.702866+00:00,2,Tennis,1,9,9,25
2026-04-18T17:55:28.783270+00:00,8,Unknown,0,0,0,250
2026-04-18T17:55:28.858140+00:00,10,Unknown,0,0,0,250
2026-04-18T17:55:28.933064+00:00,11,Unknown,0,0,0,250
2026-04-18T17:55:45.022875+00:00,4,Unknown,0,15,15,20
2026-04-18T17:55:55.099509+00:00,2,Tennis,1,10,10,25
2026-04-18T17:56:06.623124+00:00,4,Unknown,0,15,15,20
2026-04-18T17:56:21.530958+00:00,2,Tennis,1,11,11,25
2026-04-18T17:56:28.210234+00:00,4,Unknown,0,15,15,20
2026-04-18T17:56:47.905003+00:00,2,Tennis,1,12,12,25
2026-04-18T17:56:50.647316+00:00,4,Unknown,0,15,15,20
2026-04-18T17:57:12.272423+00:00,4,Unknown,0,15,15,20
2026-04-18T17:57:14.690865+00:00,2,Tennis,1,13,13,25
2026-04-18T17:57:33.868123+00:00,4,Unknown,0,15,15,20
2026-04-18T17:57:41.082308+00:00,2,Tennis,1,14,14,25
2026-04-18T17:57:55.434834+00:00,4,Unknown,0,15,15,20
2026-04-18T17:58:06.358805+00:00,2,Tennis,0,14,14,25
2026-04-18T17:58:17.233612+00:00,4,Unknown,0,15,15,20
2026-04-18T17:58:31.597183+00:00,2,Tennis,0,14,14,25
2026-04-18T17:58:38.774163+00:00,4,Unknown,0,15,15,20
2026-04-18T17:58:56.807866+00:00,2,Tennis,0,14,14,25
2026-04-18T17:59:00.332310+00:00,4,Unknown,0,15,15,20
2026-04-18T17:59:22.062017+00:00,4,Unknown,0,15,15,20
2026-04-18T17:59:22.286171+00:00,2,Tennis,0,14,14,25
2026-04-18T17:59:39.290290+00:00,1,Soccer,0,0,0,250
2026-04-18T17:59:39.365768+00:00,3,Cricket,0,0,0,250
2026-04-18T17:59:39.819742+00:00,5,Unknown,0,0,0,250
2026-04-18T17:59:40.048950+00:00,6,Unknown,0,0,0,250
2026-04-18T17:59:40.121206+00:00,7,Unknown,0,0,0,250
2026-04-18T17:59:40.192998+00:00,8,Unknown,0,0,0,250
2026-04-18T17:59:40.266364+00:00,10,Unknown,0,0,0,250
2026-04-18T17:59:40.343425+00:00,11,Unknown,0,0,0,250
2026-04-18T17:59:43.800318+00:00,4,Unknown,0,15,15,20
2026-04-18T17:59:47.502826+00:00,2,Tennis,0,14,14,25
2026-04-18T18:00:05.734297+00:00,4,Unknown,0,15,15,20
2026-04-18T18:00:12.654414+00:00,2,Tennis,0,14,14,25
2026-04-18T18:00:27.731056+00:00,4,Unknown,0,15,15,20
2026-04-18T18:00:37.817578+00:00,2,Tennis,0,14,14,25
2026-04-18T18:00:49.485784+00:00,4,Unknown,0,15,15,20
2026-04-18T18:01:02.972132+00:00,2,Tennis,0,14,14,25
2026-04-18T18:01:11.283911+00:00,4,Unknown,0,15,15,20
2026-04-18T18:01:28.146791+00:00,2,Tennis,0,14,14,25
2026-04-18T18:01:33.666944+00:00,4,Unknown,0,15,15,20
2026-04-18T18:01:53.311771+00:00,2,Tennis,0,14,14,25
2026-04-18T18:01:56.134861+00:00,4,Unknown,0,15,15,20
2026-04-18T18:02:17.858520+00:00,4,Unknown,0,15,15,20
2026-04-18T18:02:19.011891+00:00,2,Tennis,0,14,14,25
2026-04-18T18:02:39.931313+00:00,4,Unknown,0,15,15,20
2026-04-18T18:02:44.170206+00:00,2,Tennis,0,14,14,25
2026-04-18T18:03:02.998649+00:00,4,Unknown,1,16,16,20
2026-04-18T18:03:09.336951+00:00,2,Tennis,0,14,14,25
2026-04-18T18:03:26.007872+00:00,4,Unknown,1,17,17,20
2026-04-18T18:03:34.495183+00:00,2,Tennis,0,14,14,25
2026-04-18T18:03:47.758069+00:00,4,Unknown,0,17,17,20
2026-04-18T18:03:52.281865+00:00,1,Soccer,0,0,0,250
2026-04-18T18:03:52.353579+00:00,3,Cricket,0,0,0,250
2026-04-18T18:03:52.808915+00:00,5,Unknown,0,0,0,250
2026-04-18T18:03:52.953428+00:00,6,Unknown,0,0,0,250
2026-04-18T18:03:53.031289+00:00,7,Unknown,0,0,0,250
2026-04-18T18:03:53.103480+00:00,8,Unknown,0,0,0,250
2026-04-18T18:03:53.175094+00:00,10,Unknown,0,0,0,250
2026-04-18T18:03:53.247048+00:00,11,Unknown,0,0,0,250
2026-04-18T18:03:59.642355+00:00,2,Tennis,0,14,14,25
2026-04-18T18:04:10.624959+00:00,4,Unknown,1,18,18,20
2026-04-18T18:04:24.798115+00:00,2,Tennis,0,14,14,25
2026-04-18T18:04:32.382311+00:00,4,Unknown,0,18,18,20
2026-04-18T18:04:49.945262+00:00,2,Tennis,0,14,14,25
2026-04-18T18:04:54.109014+00:00,4,Unknown,0,18,18,20
2026-04-18T18:05:15.887399+00:00,4,Unknown,0,18,18,20
2026-04-18T18:05:16.035844+00:00,2,Tennis,0,14,14,25
