status,bet_id,market_id,selection_id,handicap,side,avg_price_matched,size_matched,size_remaining,gross_profit,commission,net_pnl,mtm_green_pnl,placed_date,settled_date,customer_order_ref,customer_strategy_ref
SETTLED,404447937681,1.248593187,84602355,0.0,BACK,1.17,2.0,0.0,0.34,0.0,0.34,,2025-10-06 13:26:31+00:00,2025-10-06 16:01:19+00:00,da226752c680e-139790499909881250,HugoStrat
SETTLED,404447977999,1.248593187,84602355,0.0,BACK,1.2,2.0,0.0,0.4,0.0,0.4,,2025-10-06 13:27:02+00:00,2025-10-06 16:01:19+00:00,da226752c680e-139790500220838240,HugoStrat
SETTLED,404447989386,1.248593187,84602355,0.0,BACK,1.21,2.0,0.0,0.42,0.0,0.42,,2025-10-06 13:27:11+00:00,2025-10-06 16:01:19+00:00,da226752c680e-139790500311852520,HugoStrat
SETTLED,404448002361,1.248593187,84602355,0.0,BACK,1.21,2.0,0.0,0.42,0.0,0.42,,2025-10-06 13:27:20+00:00,2025-10-06 16:01:19+00:00,da226752c680e-139790500405964610,HugoStrat
SETTLED,404451109136,1.248593187,84602355,0.0,BACK,1.16,2.0,0.0,0.32,0.0,0.32,,2025-10-06 14:07:05+00:00,2025-10-06 16:01:19+00:00,da226752c680e-139790524258845250,HugoStrat
SETTLED,404451231096,1.248690169,83584206,0.0,BACK,1.17,2.0,0.0,0.34,0.0,0.34,,2025-10-06 14:08:41+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790525211295000,HugoStrat
SETTLED,404451283087,1.248690169,83584206,0.0,BACK,1.21,2.0,0.0,0.42,0.0,0.42,,2025-10-06 14:09:27+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790525678395320,HugoStrat
SETTLED,404451300728,1.248690169,83584206,0.0,BACK,1.2,2.0,0.0,0.4,0.0,0.4,,2025-10-06 14:09:44+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790525839840240,HugoStrat
SETTLED,404451315648,1.248690169,83584206,0.0,BACK,1.22,2.0,0.0,0.44,0.0,0.44,,2025-10-06 14:09:58+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790525982648040,HugoStrat
SETTLED,404451719446,1.248690169,83584206,0.0,BACK,1.08,2.0,0.0,0.16,0.0,0.16,,2025-10-06 14:15:54+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790529546165380,HugoStrat
SETTLED,404451726358,1.248690169,83584206,0.0,BACK,1.1,2.0,0.0,0.2,0.0,0.2,,2025-10-06 14:16:01+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790529616077270,HugoStrat
SETTLED,404451745510,1.248690169,83584206,0.0,BACK,1.11,2.0,0.0,0.22,0.0,0.22,,2025-10-06 14:16:19+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790529795161490,HugoStrat
SETTLED,404451762519,1.248690169,83584206,0.0,BACK,1.14,2.0,0.0,0.28,0.0,0.28,,2025-10-06 14:16:36+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790529967560090,HugoStrat
SETTLED,404451865743,1.248690169,83584206,0.0,BACK,1.17,2.0,0.0,0.34,0.0,0.34,,2025-10-06 14:18:11+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790530915904280,HugoStrat
SETTLED,404451908121,1.248690169,83584206,0.0,BACK,1.2,2.0,0.0,0.4,0.0,0.4,,2025-10-06 14:18:49+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790531296194410,HugoStrat
SETTLED,404451919887,1.248690169,83584206,0.0,BACK,1.22,2.0,0.0,0.44,0.0,0.44,,2025-10-06 14:18:59+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790531390388010,HugoStrat
SETTLED,404452409798,1.248690169,83584206,0.0,BACK,1.2,2.0,0.0,0.4,0.0,0.4,,2025-10-06 14:25:40+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790535400606560,HugoStrat
SETTLED,404452429766,1.248690169,83584206,0.0,BACK,1.2,2.0,0.0,0.4,0.0,0.4,,2025-10-06 14:25:55+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790535554958780,HugoStrat
SETTLED,404452458420,1.248690169,83584206,0.0,BACK,1.19,2.0,0.0,0.38,0.0,0.38,,2025-10-06 14:26:18+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790535779942360,HugoStrat
SETTLED,404452521984,1.248690169,83584206,0.0,BACK,1.15,2.0,0.0,0.3,0.0,0.3,,2025-10-06 14:27:20+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790536408485820,HugoStrat
SETTLED,404452527816,1.248690169,83584206,0.0,BACK,1.18,2.0,0.0,0.36,0.0,0.36,,2025-10-06 14:27:26+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790536468614670,HugoStrat
SETTLED,404452549355,1.248690169,83584206,0.0,BACK,1.15,2.0,0.0,0.3,0.0,0.3,,2025-10-06 14:27:45+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790536655598180,HugoStrat
SETTLED,404452585797,1.248690169,83584206,0.0,BACK,1.19,2.0,0.0,0.38,0.0,0.38,,2025-10-06 14:28:13+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790536932873510,HugoStrat
SETTLED,404453358133,1.248690169,83584206,0.0,BACK,1.19,2.0,0.0,0.38,0.0,0.38,,2025-10-06 14:37:42+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790542621066090,HugoStrat
SETTLED,404453372309,1.248690169,83584206,0.0,BACK,1.2,2.0,0.0,0.4,0.0,0.4,,2025-10-06 14:37:52+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790542724540360,HugoStrat
SETTLED,404453403973,1.248690169,83584206,0.0,BACK,1.13,2.0,0.0,0.26,0.0,0.26,,2025-10-06 14:38:14+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790542946433550,HugoStrat
SETTLED,404453566794,1.248690169,83584206,0.0,BACK,1.1,2.0,0.0,0.2,0.0,0.2,,2025-10-06 14:40:14+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790544141245630,HugoStrat
SETTLED,404453575004,1.248690169,83584206,0.0,BACK,1.13,2.0,0.0,0.26,0.0,0.26,,2025-10-06 14:40:20+00:00,2025-10-06 14:47:26+00:00,da226752c680e-139790544209597740,HugoStrat
