status,bet_id,market_id,selection_id,handicap,side,avg_price_matched,size_matched,size_remaining,gross_profit,commission,net_pnl,mtm_green_pnl,placed_date,settled_date,customer_order_ref,customer_strategy_ref
SETTLED,404505887546,1.248592714,83801504,0.0,BACK,1.03,2.0,0.0,0.06,0.0,0.06,,2025-10-07 13:14:10+00:00,2025-10-07 16:17:48+00:00,da226752c680e-139791356502838080,HugoStrat
SETTLED,404506259854,1.248592714,83801504,0.0,BACK,1.05,2.0,0.0,0.1,0.0,0.1,,2025-10-07 13:19:46+00:00,2025-10-07 16:17:48+00:00,da226752c680e-139791359863030830,HugoStrat
SETTLED,404508092189,1.248592714,83801504,0.0,BACK,1.06,2.0,0.0,0.12,0.0,0.12,,2025-10-07 13:44:46+00:00,2025-10-07 16:17:48+00:00,da226752c680e-139791374860845910,HugoStrat
SETTLED,404510285083,1.248592714,83801504,0.0,BACK,1.03,2.0,0.0,0.06,0.0,0.06,,2025-10-07 14:15:52+00:00,2025-10-07 16:17:48+00:00,da226752c680e-139791393529368270,HugoStrat
SETTLED,404511241253,1.248592714,83801504,0.0,BACK,1.04,2.0,0.0,0.08,0.0,0.08,,2025-10-07 14:30:21+00:00,2025-10-07 16:17:48+00:00,da226752c680e-139791402212271260,HugoStrat
SETTLED,404511262364,1.248592714,83801504,0.0,BACK,1.06,2.0,0.0,0.12,0.0,0.12,,2025-10-07 14:30:43+00:00,2025-10-07 16:17:48+00:00,da226752c680e-139791402439228190,HugoStrat
SETTLED,404511400605,1.248592714,83801504,0.0,BACK,1.08,2.0,0.0,0.16,0.0,0.16,,2025-10-07 14:32:56+00:00,2025-10-07 16:17:48+00:00,da226752c680e-139791403761280890,HugoStrat
SETTLED,404511412371,1.248592714,83801504,0.0,BACK,1.13,2.0,0.0,0.26,0.0,0.26,,2025-10-07 14:33:10+00:00,2025-10-07 16:17:48+00:00,da226752c680e-139791403903556920,HugoStrat
SETTLED,404511505284,1.248592714,83801504,0.0,BACK,1.15,2.0,0.0,0.3,0.0,0.3,,2025-10-07 14:34:45+00:00,2025-10-07 16:17:48+00:00,da226752c680e-139791404851945490,HugoStrat
SETTLED,404511669484,1.248592714,83801504,0.0,BACK,1.18,2.0,0.0,0.36,0.0,0.36,,2025-10-07 14:36:37+00:00,2025-10-07 16:17:48+00:00,da226752c680e-139791405979559760,HugoStrat
SETTLED,404511800814,1.248592714,83801504,0.0,BACK,1.2,2.0,0.0,0.4,0.0,0.4,,2025-10-07 14:38:13+00:00,2025-10-07 16:17:48+00:00,da226752c680e-139791406930348100,HugoStrat
SETTLED,404512252900,1.248592714,83801504,0.0,BACK,1.21,2.0,0.0,0.42,0.0,0.42,,2025-10-07 14:44:14+00:00,2025-10-07 16:17:48+00:00,da226752c680e-139791410545942310,HugoStrat
SETTLED,404512326928,1.248592714,83801504,0.0,BACK,1.15,2.0,0.0,0.3,0.0,0.3,,2025-10-07 14:45:09+00:00,2025-10-07 16:17:48+00:00,da226752c680e-139791411096560650,HugoStrat
SETTLED,404512342081,1.248592714,83801504,0.0,BACK,1.19,2.0,0.0,0.38,0.0,0.38,,2025-10-07 14:45:22+00:00,2025-10-07 16:17:48+00:00,da226752c680e-139791411220684870,HugoStrat
SETTLED,404512506546,1.248592714,83801504,0.0,BACK,1.23,2.0,0.0,0.46,0.0,0.46,,2025-10-07 14:47:37+00:00,2025-10-07 16:17:48+00:00,da226752c680e-139791412572496490,HugoStrat
SETTLED,404514497269,1.248592714,83801504,0.0,BACK,1.53,2.0,0.0,1.06,0.0,1.06,,2025-10-07 15:13:27+00:00,2025-10-07 16:17:48+00:00,da226752c680e-139791428077893070,HugoStrat
SETTLED,404492268021,1.248624837,64406703,0.0,BACK,1.74,1.0,0.0,0.74,0.0,0.74,,2025-10-07 05:01:21+00:00,2025-10-07 05:48:50+00:00,,
SETTLED,404492275895,1.248624837,11987709,0.0,BACK,2.56,0.31,0.0,-0.31,0.0,-0.31,,2025-10-07 05:01:49+00:00,2025-10-07 05:48:50+00:00,,
SETTLED,404485084474,1.248707414,74720236,0.0,BACK,1.17,2.0,0.0,0.34,0.0,0.34,,2025-10-07 01:28:29+00:00,2025-10-07 02:51:32+00:00,da226752c680e-139790933090146680,HugoStrat
SETTLED,404485244250,1.248707414,74720236,0.0,BACK,1.17,2.0,0.0,0.34,0.0,0.34,,2025-10-07 01:33:30+00:00,2025-10-07 02:51:32+00:00,da226752c680e-139790936102396300,HugoStrat
SETTLED,404486928724,1.248707414,74720236,0.0,BACK,1.03,2.0,0.0,0.06,0.0,0.06,,2025-10-07 02:25:29+00:00,2025-10-07 02:51:32+00:00,da226752c680e-139790967298070870,HugoStrat
SETTLED,404487136259,1.248707414,74720236,0.0,BACK,1.05,2.0,0.0,0.1,0.0,0.1,,2025-10-07 02:33:41+00:00,2025-10-07 02:51:32+00:00,da226752c680e-139790972215687610,HugoStrat
SETTLED,404487193021,1.248707414,74720236,0.0,BACK,1.11,2.0,0.0,0.22,0.0,0.22,,2025-10-07 02:35:11+00:00,2025-10-07 02:51:32+00:00,da226752c680e-139790973111228650,HugoStrat
SETTLED,404487210155,1.248707414,74720236,0.0,BACK,1.1,2.0,0.0,0.2,0.0,0.2,,2025-10-07 02:35:44+00:00,2025-10-07 02:51:32+00:00,da226752c680e-139790973449658360,HugoStrat
SETTLED,404487263156,1.248707414,74720236,0.0,BACK,1.12,2.0,0.0,0.24,0.0,0.24,,2025-10-07 02:37:27+00:00,2025-10-07 02:51:32+00:00,da226752c680e-139790974473491210,HugoStrat
SETTLED,404487270918,1.248707414,74720236,0.0,BACK,1.12,2.0,0.0,0.24,0.0,0.24,,2025-10-07 02:37:48+00:00,2025-10-07 02:51:32+00:00,da226752c680e-139790974681794050,HugoStrat
