status,bet_id,market_id,selection_id,handicap,side,avg_price_matched,size_matched,size_remaining,gross_profit,commission,net_pnl,mtm_green_pnl,placed_date,settled_date,customer_order_ref,customer_strategy_ref
SETTLED,407545874976,1.249941160,7461,0.0,BACK,1.02,2.0,0.0,0.04,0.0,0.04,,2025-11-01 18:33:14+00:00,2025-11-01 18:39:08+00:00,bcd7950339dcf-139813147944239282,risk_backfave
SETTLED,407458067382,1.249961614,61077258,0.0,BACK,1.03,1.0,0.0,0.03,0.0,0.03,,2025-11-01 12:03:21+00:00,2025-11-01 16:06:58+00:00,bcd7950339dcf-139812914018196825,risk_backfave
SETTLED,407435065936,1.249779047,37302,0.0,BACK,1.06,1.31,0.0,0.08,0.0,0.08,,2025-11-01 08:08:57+00:00,2025-11-01 15:59:15+00:00,bcd7950339dcf-139812773373677460,risk_backfave
SETTLED,407439179086,1.249779045,90233342,0.0,BACK,1.2,2.0,0.0,-2.0,0.0,-2.0,,2025-11-01 08:53:57+00:00,2025-11-01 15:59:15+00:00,bcd7950339dcf-139812800377644592,risk_backfave
SETTLED,407456606284,1.249779045,90233342,0.0,BACK,1.16,2.0,0.0,-2.0,0.0,-2.0,,2025-11-01 11:51:05+00:00,2025-11-01 15:59:15+00:00,bcd7950339dcf-139812906651531929,risk_backfave
SETTLED,407455931430,1.249844325,37302,0.0,BACK,1.03,2.0,0.0,0.06,0.0,0.06,,2025-11-01 11:45:14+00:00,2025-11-01 14:48:15+00:00,bcd7950339dcf-139812903139772694,risk_backfave
SETTLED,407455931432,1.249844325,37303,0.0,BACK,2.28,1.58,0.0,-1.58,0.0,-1.58,,2025-11-01 11:45:14+00:00,2025-11-01 14:48:15+00:00,bcd7950339dcf-139812903139777458,risk_backfave
SETTLED,407455969803,1.249844325,37302,0.0,BACK,1.04,2.0,0.0,0.08,0.0,0.08,,2025-11-01 11:45:35+00:00,2025-11-01 14:48:15+00:00,bcd7950339dcf-139812903354990752,risk_backfave
SETTLED,407455978049,1.249844325,37303,0.0,BACK,2.29,1.6,0.0,-1.6,0.0,-1.6,,2025-11-01 11:45:40+00:00,2025-11-01 14:48:15+00:00,bcd7950339dcf-139812903406019856,risk_backfave
SETTLED,407456010204,1.249844325,37302,0.0,BACK,1.05,2.0,0.0,0.1,0.0,0.1,,2025-11-01 11:46:00+00:00,2025-11-01 14:48:15+00:00,bcd7950339dcf-139812903605570163,risk_backfave
SETTLED,407456019662,1.249844325,37303,0.0,BACK,2.28,1.62,0.0,-1.62,0.0,-1.62,,2025-11-01 11:46:05+00:00,2025-11-01 14:48:15+00:00,bcd7950339dcf-139812903657226469,risk_backfave
SETTLED,407456054618,1.249844325,37302,0.0,BACK,1.06,2.0,0.0,0.12,0.0,0.12,,2025-11-01 11:46:24+00:00,2025-11-01 14:48:15+00:00,bcd7950339dcf-139812903849492594,risk_backfave
SETTLED,407456065359,1.249844325,37303,0.0,BACK,2.05,2.0,0.0,-2.0,0.0,-2.0,,2025-11-01 11:46:30+00:00,2025-11-01 14:48:15+00:00,bcd7950339dcf-139812903900721143,risk_backfave
SETTLED,407456075588,1.249844325,37302,0.0,BACK,1.97,2.0,0.0,1.95,0.0,1.95,,2025-11-01 11:46:35+00:00,2025-11-01 14:48:15+00:00,bcd7950339dcf-139812903953109034,risk_backfave
SETTLED,407456090461,1.249844325,37303,0.0,BACK,1.98,2.0,0.0,-2.0,0.0,-2.0,,2025-11-01 11:46:43+00:00,2025-11-01 14:48:15+00:00,bcd7950339dcf-139812904030622322,risk_backfave
SETTLED,407456105853,1.249844325,37302,0.0,BACK,1.08,2.0,0.0,0.16,0.0,0.16,,2025-11-01 11:46:51+00:00,2025-11-01 14:48:15+00:00,bcd7950339dcf-139812904117843292,risk_backfave
