status,bet_id,market_id,selection_id,handicap,side,avg_price_matched,size_matched,size_remaining,gross_profit,commission,net_pnl,mtm_green_pnl,placed_date,settled_date,customer_order_ref,customer_strategy_ref
SETTLED,407786207334,1.250066552,61422697,0.0,BACK,1.21,2.0,0.0,0.42,0.0,0.42,,2025-11-03 11:41:45+00:00,2025-11-03 14:44:47+00:00,bcd7950339dcf-139814629052321939,risk_backfave
SETTLED,407791611307,1.250066552,61422697,0.0,BACK,1.19,0.48,0.0,0.09,0.0,0.09,,2025-11-03 13:00:11+00:00,2025-11-03 14:44:47+00:00,bcd7950339dcf-139814676111365199,risk_backfave
SETTLED,407792249641,1.250066552,61422697,0.0,BACK,1.1,2.0,0.0,0.2,0.0,0.2,,2025-11-03 13:07:11+00:00,2025-11-03 14:44:47+00:00,bcd7950339dcf-139814680310393879,risk_backfave
SETTLED,407792386110,1.250066552,61422697,0.0,BACK,1.12,2.0,0.0,0.24,0.0,0.24,,2025-11-03 13:08:20+00:00,2025-11-03 14:44:47+00:00,bcd7950339dcf-139814681003167124,risk_backfave
SETTLED,407792421872,1.250066552,61422697,0.0,BACK,1.12,2.0,0.0,0.24,0.0,0.24,,2025-11-03 13:08:43+00:00,2025-11-03 14:44:47+00:00,bcd7950339dcf-139814681234807828,risk_backfave
SETTLED,407792695454,1.250066552,61422697,0.0,BACK,1.12,2.0,0.0,0.24,0.0,0.24,,2025-11-03 13:11:29+00:00,2025-11-03 14:44:47+00:00,bcd7950339dcf-139814682891883543,risk_backfave
SETTLED,407792702943,1.250066552,61422697,0.0,BACK,1.15,2.0,0.0,0.3,0.0,0.3,,2025-11-03 13:11:35+00:00,2025-11-03 14:44:47+00:00,bcd7950339dcf-139814682953673482,risk_backfave
SETTLED,407792765995,1.250066552,61422697,0.0,BACK,1.16,2.0,0.0,0.32,0.0,0.32,,2025-11-03 13:12:20+00:00,2025-11-03 14:44:47+00:00,bcd7950339dcf-139814683406181328,risk_backfave
SETTLED,407792848637,1.250066552,61422697,0.0,BACK,1.17,2.0,0.0,0.34,0.0,0.34,,2025-11-03 13:13:24+00:00,2025-11-03 14:44:47+00:00,bcd7950339dcf-139814684045503216,risk_backfave
SETTLED,407793293291,1.250066552,61422697,0.0,BACK,1.15,2.0,0.0,0.3,0.0,0.3,,2025-11-03 13:18:35+00:00,2025-11-03 14:44:47+00:00,bcd7950339dcf-139814687157531372,risk_backfave
SETTLED,407793330317,1.250066552,61422697,0.0,BACK,1.16,2.0,0.0,0.32,0.0,0.32,,2025-11-03 13:18:58+00:00,2025-11-03 14:44:47+00:00,bcd7950339dcf-139814687379703137,risk_backfave
SETTLED,407794436278,1.250066552,61422697,0.0,BACK,1.17,2.0,0.0,0.34,0.0,0.34,,2025-11-03 13:31:07+00:00,2025-11-03 14:44:47+00:00,bcd7950339dcf-139814694672864394,risk_backfave
SETTLED,407795997741,1.250066552,61422697,0.0,BACK,1.09,2.0,0.0,0.18,0.0,0.18,,2025-11-03 13:47:58+00:00,2025-11-03 14:44:47+00:00,bcd7950339dcf-139814704786156486,risk_backfave
SETTLED,407798346040,1.250066552,61422697,0.0,BACK,1.05,2.0,0.0,0.1,0.0,0.1,,2025-11-03 14:13:40+00:00,2025-11-03 14:44:47+00:00,bcd7950339dcf-139814720201592242,risk_backfave
SETTLED,407792878232,1.249957650,60551675,0.0,BACK,1.07,2.0,0.0,0.14,0.0,0.14,,2025-11-03 13:13:49+00:00,2025-11-03 14:11:21+00:00,bcd7950339dcf-139814684297757930,risk_backfave
SETTLED,407792890917,1.249957650,60551675,0.0,BACK,1.11,2.0,0.0,0.22,0.0,0.22,,2025-11-03 13:14:00+00:00,2025-11-03 14:11:21+00:00,bcd7950339dcf-139814684407911356,risk_backfave
SETTLED,407793304174,1.249957650,60551675,0.0,BACK,1.08,2.0,0.0,0.16,0.0,0.16,,2025-11-03 13:18:41+00:00,2025-11-03 14:11:21+00:00,bcd7950339dcf-139814687217038853,risk_backfave
SETTLED,407794040288,1.249957650,60551675,0.0,BACK,1.07,2.0,0.0,0.14,0.0,0.14,,2025-11-03 13:26:39+00:00,2025-11-03 14:11:21+00:00,bcd7950339dcf-139814691989805309,risk_backfave
SETTLED,407794265535,1.249957650,60551675,0.0,BACK,1.05,2.0,0.0,0.1,0.0,0.1,,2025-11-03 13:29:19+00:00,2025-11-03 14:11:21+00:00,bcd7950339dcf-139814693592066393,risk_backfave
SETTLED,407794275047,1.249957650,60551675,0.0,BACK,1.1,2.0,0.0,0.2,0.0,0.2,,2025-11-03 13:29:24+00:00,2025-11-03 14:11:21+00:00,bcd7950339dcf-139814693645168420,risk_backfave
SETTLED,407794334466,1.249957650,60551675,0.0,BACK,1.12,2.0,0.0,0.24,0.0,0.24,,2025-11-03 13:30:01+00:00,2025-11-03 14:11:21+00:00,bcd7950339dcf-139814694015209433,risk_backfave
SETTLED,407794599731,1.249957650,60551675,0.0,BACK,1.13,2.0,0.0,0.26,0.0,0.26,,2025-11-03 13:32:50+00:00,2025-11-03 14:11:21+00:00,bcd7950339dcf-139814695708329886,risk_backfave
SETTLED,407794628388,1.249957650,60551675,0.0,BACK,1.15,2.0,0.0,0.3,0.0,0.3,,2025-11-03 13:33:10+00:00,2025-11-03 14:11:21+00:00,bcd7950339dcf-139814695900336669,risk_backfave
SETTLED,407794759658,1.249957650,60551675,0.0,BACK,1.18,2.0,0.0,0.36,0.0,0.36,,2025-11-03 13:34:33+00:00,2025-11-03 14:11:21+00:00,bcd7950339dcf-139814696730171985,risk_backfave
SETTLED,407794796595,1.249957650,60551675,0.0,BACK,1.38,2.0,0.0,0.76,0.0,0.76,,2025-11-03 13:34:55+00:00,2025-11-03 14:11:21+00:00,bcd7950339dcf-139814696952045659,risk_backfave
SETTLED,407776669345,1.249956139,891555,0.0,BACK,1.19,2.0,0.0,0.38,0.0,0.38,,2025-11-03 08:32:41+00:00,2025-11-03 11:36:59+00:00,bcd7950339dcf-139814515614852238,risk_backfave
SETTLED,407780155136,1.249956139,891555,0.0,BACK,1.09,2.0,0.0,0.18,0.0,0.18,,2025-11-03 09:46:53+00:00,2025-11-03 11:36:59+00:00,bcd7950339dcf-139814560136345871,risk_backfave
SETTLED,407774982721,1.250038814,61422697,0.0,BACK,1.13,2.0,0.0,0.26,0.0,0.26,,2025-11-03 07:53:58+00:00,2025-11-03 10:31:11+00:00,bcd7950339dcf-139814492384518561,risk_backfave
SETTLED,407775152404,1.250038814,61422697,0.0,BACK,1.15,2.0,0.0,0.3,0.0,0.3,,2025-11-03 07:57:52+00:00,2025-11-03 10:31:11+00:00,bcd7950339dcf-139814494725970656,risk_backfave
SETTLED,407775496952,1.250038814,61422697,0.0,BACK,1.12,2.0,0.0,0.24,0.0,0.24,,2025-11-03 08:06:45+00:00,2025-11-03 10:31:11+00:00,bcd7950339dcf-139814500055537590,risk_backfave
SETTLED,407775954817,1.250038814,61422697,0.0,BACK,1.05,2.0,0.0,0.1,0.0,0.1,,2025-11-03 08:17:52+00:00,2025-11-03 10:31:11+00:00,bcd7950339dcf-139814506725409096,risk_backfave
SETTLED,407776059356,1.250038814,61422697,0.0,BACK,1.06,2.0,0.0,0.12,0.0,0.12,,2025-11-03 08:20:08+00:00,2025-11-03 10:31:11+00:00,bcd7950339dcf-139814508082444861,risk_backfave
SETTLED,407776203329,1.250038814,61422697,0.0,BACK,1.06,2.0,0.0,0.12,0.0,0.12,,2025-11-03 08:22:58+00:00,2025-11-03 10:31:11+00:00,bcd7950339dcf-139814509788721491,risk_backfave
SETTLED,407777306752,1.250038814,61422697,0.0,BACK,1.07,2.0,0.0,0.14,0.0,0.14,,2025-11-03 08:45:01+00:00,2025-11-03 10:31:11+00:00,bcd7950339dcf-139814523016768488,risk_backfave
SETTLED,407777374730,1.250038814,61422697,0.0,BACK,1.09,2.0,0.0,0.18,0.0,0.18,,2025-11-03 08:46:19+00:00,2025-11-03 10:31:11+00:00,bcd7950339dcf-139814523792309847,risk_backfave
SETTLED,407777528367,1.250038814,61422697,0.0,BACK,1.1,2.0,0.0,0.2,0.0,0.2,,2025-11-03 08:49:26+00:00,2025-11-03 10:31:11+00:00,bcd7950339dcf-139814525662420223,risk_backfave
SETTLED,407777596847,1.250038814,61422697,0.0,BACK,1.11,2.0,0.0,0.22,0.0,0.22,,2025-11-03 08:50:54+00:00,2025-11-03 10:31:11+00:00,bcd7950339dcf-139814526544364975,risk_backfave
SETTLED,407777832108,1.250038814,61422697,0.0,BACK,1.07,2.0,0.0,0.14,0.0,0.14,,2025-11-03 08:55:53+00:00,2025-11-03 10:31:11+00:00,bcd7950339dcf-139814529533078498,risk_backfave
SETTLED,407777863500,1.250038814,61422697,0.0,BACK,1.1,2.0,0.0,0.2,0.0,0.2,,2025-11-03 08:56:33+00:00,2025-11-03 10:31:11+00:00,bcd7950339dcf-139814529935143232,risk_backfave
SETTLED,407778102942,1.250038814,61422697,0.0,BACK,1.09,2.0,0.0,0.18,0.0,0.18,,2025-11-03 09:01:21+00:00,2025-11-03 10:31:11+00:00,bcd7950339dcf-139814532810466949,risk_backfave
SETTLED,407778468269,1.250038814,61422697,0.0,BACK,1.05,2.0,0.0,0.1,0.0,0.1,,2025-11-03 09:08:57+00:00,2025-11-03 10:31:11+00:00,bcd7950339dcf-139814537375599673,risk_backfave
SETTLED,407778549042,1.250038814,61422697,0.0,BACK,1.06,2.0,0.0,0.12,0.0,0.12,,2025-11-03 09:10:51+00:00,2025-11-03 10:31:11+00:00,bcd7950339dcf-139814538512531610,risk_backfave
