status,bet_id,market_id,selection_id,handicap,side,avg_price_matched,size_matched,size_remaining,gross_profit,commission,net_pnl,mtm_green_pnl,placed_date,settled_date,customer_order_ref,customer_strategy_ref
SETTLED,409305209246,1.250637099,8390508,0.0,BACK,1.27,2.0,0.0,0.54,0.0,0.54,,2025-11-17 15:08:55+00:00,2025-11-17 17:12:19+00:00,bcd7950339dcf-139826849358801834,risk_backfave
SETTLED,409305947643,1.250637099,8390508,0.0,BACK,1.08,2.0,0.0,0.16,0.0,0.16,,2025-11-17 15:19:07+00:00,2025-11-17 17:12:19+00:00,bcd7950339dcf-139826855476906507,risk_backfave
SETTLED,409306052018,1.250637099,8390508,0.0,BACK,1.09,2.0,0.0,0.18,0.0,0.18,,2025-11-17 15:20:38+00:00,2025-11-17 17:12:19+00:00,bcd7950339dcf-139826856382411073,risk_backfave
SETTLED,409306169285,1.250637099,8390508,0.0,BACK,1.11,2.0,0.0,0.22,0.0,0.22,,2025-11-17 15:22:45+00:00,2025-11-17 17:12:19+00:00,bcd7950339dcf-139826857656836075,risk_backfave
SETTLED,409306497355,1.250637099,8390508,0.0,BACK,1.11,2.0,0.0,0.22,0.0,0.22,,2025-11-17 15:27:36+00:00,2025-11-17 17:12:19+00:00,bcd7950339dcf-139826860562731044,risk_backfave
SETTLED,409306505313,1.250637099,8390508,0.0,BACK,1.14,2.0,0.0,0.28,0.0,0.28,,2025-11-17 15:27:43+00:00,2025-11-17 17:12:19+00:00,bcd7950339dcf-139826860630830657,risk_backfave
SETTLED,409306543448,1.250637099,8390508,0.0,BACK,1.14,2.0,0.0,0.28,0.0,0.28,,2025-11-17 15:28:11+00:00,2025-11-17 17:12:19+00:00,bcd7950339dcf-139826860911501947,risk_backfave
SETTLED,409306559003,1.250637099,8390508,0.0,BACK,1.17,2.0,0.0,0.34,0.0,0.34,,2025-11-17 15:28:22+00:00,2025-11-17 17:12:19+00:00,bcd7950339dcf-139826861028566092,risk_backfave
SETTLED,409306567359,1.250637099,8390508,0.0,BACK,1.19,2.0,0.0,0.38,0.0,0.38,,2025-11-17 15:28:28+00:00,2025-11-17 17:12:19+00:00,bcd7950339dcf-139826861087652645,risk_backfave
SETTLED,409306663470,1.250637099,8390508,0.0,BACK,1.13,2.0,0.0,0.26,0.0,0.26,,2025-11-17 15:29:45+00:00,2025-11-17 17:12:19+00:00,bcd7950339dcf-139826861854954758,risk_backfave
SETTLED,409306670601,1.250637099,8390508,0.0,BACK,1.16,2.0,0.0,0.32,0.0,0.32,,2025-11-17 15:29:50+00:00,2025-11-17 17:12:19+00:00,bcd7950339dcf-139826861907864396,risk_backfave
SETTLED,409306788531,1.250637099,8390508,0.0,BACK,1.13,2.0,0.0,0.26,0.0,0.26,,2025-11-17 15:31:20+00:00,2025-11-17 17:12:19+00:00,bcd7950339dcf-139826862805220220,risk_backfave
SETTLED,409307074853,1.250637099,8390508,0.0,BACK,1.13,2.0,0.0,0.26,0.0,0.26,,2025-11-17 15:34:56+00:00,2025-11-17 17:12:19+00:00,bcd7950339dcf-139826864961310237,risk_backfave
SETTLED,409307696991,1.250637099,8390508,0.0,BACK,1.06,2.0,0.0,0.12,0.0,0.12,,2025-11-17 15:42:44+00:00,2025-11-17 17:12:19+00:00,bcd7950339dcf-139826869643037520,risk_backfave
SETTLED,409310670113,1.250637099,8390508,0.0,BACK,1.02,2.0,0.0,0.04,0.0,0.04,,2025-11-17 16:29:46+00:00,2025-11-17 17:12:19+00:00,bcd7950339dcf-139826897867610888,risk_backfave
SETTLED,409289503706,1.250515415,77233826,0.0,BACK,1.25,2.0,0.0,0.5,0.0,0.5,,2025-11-17 11:03:25+00:00,2025-11-17 13:28:38+00:00,bcd7950339dcf-139826702053327020,risk_backfave
SETTLED,409290282995,1.250515415,77233826,0.0,BACK,1.19,2.0,0.0,0.38,0.0,0.38,,2025-11-17 11:20:50+00:00,2025-11-17 13:28:38+00:00,bcd7950339dcf-139826712505775250,risk_backfave
SETTLED,409290591269,1.250515415,77233826,0.0,BACK,1.16,2.0,0.0,0.32,0.0,0.32,,2025-11-17 11:26:57+00:00,2025-11-17 13:28:38+00:00,bcd7950339dcf-139826716173713826,risk_backfave
SETTLED,409290744979,1.250515415,77233826,0.0,BACK,1.19,2.0,0.0,0.38,0.0,0.38,,2025-11-17 11:29:49+00:00,2025-11-17 13:28:38+00:00,bcd7950339dcf-139826717896609764,risk_backfave
SETTLED,409290750160,1.250515415,77233826,0.0,BACK,1.21,2.0,0.0,0.42,0.0,0.42,,2025-11-17 11:29:55+00:00,2025-11-17 13:28:38+00:00,bcd7950339dcf-139826717952851119,risk_backfave
SETTLED,409292838698,1.250515415,77233826,0.0,BACK,1.18,2.0,0.0,0.36,0.0,0.36,,2025-11-17 12:08:32+00:00,2025-11-17 13:28:38+00:00,bcd7950339dcf-139826741125171956,risk_backfave
SETTLED,409293837187,1.250515415,77233826,0.0,BACK,1.16,2.0,0.0,0.32,0.0,0.32,,2025-11-17 12:24:29+00:00,2025-11-17 13:28:38+00:00,bcd7950339dcf-139826750692727910,risk_backfave
SETTLED,409293995628,1.250515415,77233826,0.0,BACK,1.1,2.0,0.0,0.2,0.0,0.2,,2025-11-17 12:26:45+00:00,2025-11-17 13:28:38+00:00,bcd7950339dcf-139826752055892845,risk_backfave
