status,bet_id,market_id,selection_id,handicap,side,avg_price_matched,size_matched,size_remaining,gross_profit,commission,net_pnl,mtm_green_pnl,placed_date,settled_date,customer_order_ref,customer_strategy_ref
SETTLED,411743157238,1.251481318,78573557,0.0,BACK,1.06,2.0,0.0,-2.0,0.0,-2.0,,2025-12-09 17:49:55+00:00,2025-12-09 18:17:06+00:00,bcd7950339dcf-139845953958346932,risk_backfave
SETTLED,411743194354,1.251481318,78573557,0.0,BACK,1.07,2.0,0.0,-2.0,0.0,-2.0,,2025-12-09 17:50:31+00:00,2025-12-09 18:17:06+00:00,bcd7950339dcf-139845954315585006,risk_backfave
SETTLED,411743208617,1.251481318,78573557,0.0,BACK,1.07,2.0,0.0,-2.0,0.0,-2.0,,2025-12-09 17:50:47+00:00,2025-12-09 18:17:06+00:00,bcd7950339dcf-139845954478711624,risk_backfave
SETTLED,411743232666,1.251481318,78573557,0.0,BACK,1.1,2.0,0.0,-2.0,0.0,-2.0,,2025-12-09 17:51:10+00:00,2025-12-09 18:17:06+00:00,bcd7950339dcf-139845954703010823,risk_backfave
SETTLED,411743242756,1.251481318,78573557,0.0,BACK,1.1,2.0,0.0,-2.0,0.0,-2.0,,2025-12-09 17:51:21+00:00,2025-12-09 18:17:06+00:00,bcd7950339dcf-139845954811132605,risk_backfave
SETTLED,411743250285,1.251481318,78573557,0.0,BACK,1.15,2.0,0.0,-2.0,0.0,-2.0,,2025-12-09 17:51:29+00:00,2025-12-09 18:17:06+00:00,bcd7950339dcf-139845954892201438,risk_backfave
SETTLED,411743306524,1.251481318,78573557,0.0,BACK,1.11,2.0,0.0,-2.0,0.0,-2.0,,2025-12-09 17:52:36+00:00,2025-12-09 18:17:06+00:00,bcd7950339dcf-139845955561752851,risk_backfave
SETTLED,411743378286,1.251481318,78573557,0.0,BACK,1.08,2.0,0.0,-2.0,0.0,-2.0,,2025-12-09 17:53:43+00:00,2025-12-09 18:17:06+00:00,bcd7950339dcf-139845956237179198,risk_backfave
SETTLED,411743464925,1.251481318,78573557,0.0,BACK,1.04,2.0,0.0,-2.0,0.0,-2.0,,2025-12-09 17:54:59+00:00,2025-12-09 18:17:06+00:00,bcd7950339dcf-139845956992809063,risk_backfave
SETTLED,411743479471,1.251481318,78573557,0.0,BACK,1.08,2.0,0.0,-2.0,0.0,-2.0,,2025-12-09 17:55:11+00:00,2025-12-09 18:17:06+00:00,bcd7950339dcf-139845957112777992,risk_backfave
SETTLED,411744195368,1.251481318,78573557,0.0,LAY,10.0,2.0,0.0,2.0,0.0,2.0,,2025-12-09 18:03:53+00:00,2025-12-09 18:17:06+00:00,bcd7950339dcf-139845962339017544,risk_backfave
SETTLED,411744255360,1.251481318,51635549,0.0,BACK,1.11,2.0,0.0,0.22,0.0,0.22,,2025-12-09 18:04:38+00:00,2025-12-09 18:17:06+00:00,bcd7950339dcf-139845962787242107,risk_backfave
SETTLED,411744346956,1.251481318,51635549,0.0,BACK,1.05,2.0,0.0,0.1,0.0,0.1,,2025-12-09 18:05:54+00:00,2025-12-09 18:17:06+00:00,bcd7950339dcf-139845963543581525,risk_backfave
