status,bet_id,market_id,selection_id,handicap,side,avg_price_matched,size_matched,size_remaining,gross_profit,commission,net_pnl,mtm_green_pnl,placed_date,settled_date,customer_order_ref,customer_strategy_ref
SETTLED,411637492776,1.251362666,4297071,0.0,BACK,1.1,2.0,0.0,0.2,0.0,0.2,,2025-12-08 14:17:01+00:00,2025-12-08 14:31:41+00:00,bcd7950339dcf-139844962215062387,risk_backfave
SETTLED,411637551517,1.251362666,4297071,0.0,BACK,1.02,2.0,0.0,0.04,0.0,0.04,,2025-12-08 14:17:31+00:00,2025-12-08 14:31:41+00:00,bcd7950339dcf-139844962516386471,risk_backfave
SETTLED,411638168543,1.251362666,4297071,0.0,BACK,1.01,2.0,0.0,0.02,0.0,0.02,,2025-12-08 14:22:49+00:00,2025-12-08 14:31:41+00:00,bcd7950339dcf-139844965699347503,risk_backfave
SETTLED,411638241038,1.251362666,4297071,0.0,BACK,1.01,2.0,0.0,0.02,0.0,0.02,,2025-12-08 14:23:23+00:00,2025-12-08 14:31:41+00:00,bcd7950339dcf-139844966035712425,risk_backfave
SETTLED,411638321968,1.251362666,4297071,0.0,BACK,1.02,2.0,0.0,0.04,0.0,0.04,,2025-12-08 14:24:09+00:00,2025-12-08 14:31:41+00:00,bcd7950339dcf-139844966493103600,risk_backfave
SETTLED,411616872778,1.251445864,63056306,0.0,BACK,1.14,2.0,0.0,0.28,0.0,0.28,,2025-12-08 09:00:15+00:00,2025-12-08 12:36:26+00:00,bcd7950339dcf-139844772151814826,risk_backfave
SETTLED,411616928036,1.251445864,63056306,0.0,BACK,1.21,0.89,0.0,0.19,0.0,0.19,,2025-12-08 09:01:47+00:00,2025-12-08 12:36:26+00:00,bcd7950339dcf-139844773077183362,risk_backfave
SETTLED,411616993101,1.251445864,63056306,0.0,BACK,1.17,2.0,0.0,0.34,0.0,0.34,,2025-12-08 09:03:34+00:00,2025-12-08 12:36:26+00:00,bcd7950339dcf-139844774147983097,risk_backfave
SETTLED,411617028907,1.251445864,63056306,0.0,BACK,1.19,2.0,0.0,0.38,0.0,0.38,,2025-12-08 09:04:22+00:00,2025-12-08 12:36:26+00:00,bcd7950339dcf-139844774629673387,risk_backfave
SETTLED,411617076114,1.251445864,63056306,0.0,BACK,1.2,2.0,0.0,0.4,0.0,0.4,,2025-12-08 09:05:49+00:00,2025-12-08 12:36:26+00:00,bcd7950339dcf-139844775495462038,risk_backfave
SETTLED,411617163388,1.251445864,63056306,0.0,BACK,1.15,2.0,0.0,0.3,0.0,0.3,,2025-12-08 09:07:29+00:00,2025-12-08 12:36:26+00:00,bcd7950339dcf-139844776490244647,risk_backfave
SETTLED,411617242948,1.251445864,63056306,0.0,BACK,1.17,2.0,0.0,0.34,0.0,0.34,,2025-12-08 09:09:12+00:00,2025-12-08 12:36:26+00:00,bcd7950339dcf-139844777526803404,risk_backfave
SETTLED,411617252326,1.251445864,63056306,0.0,BACK,1.2,2.0,0.0,0.4,0.0,0.4,,2025-12-08 09:09:26+00:00,2025-12-08 12:36:26+00:00,bcd7950339dcf-139844777668043451,risk_backfave
SETTLED,411617307325,1.251445864,63056306,0.0,BACK,1.22,2.0,0.0,0.44,0.0,0.44,,2025-12-08 09:10:44+00:00,2025-12-08 12:36:26+00:00,bcd7950339dcf-139844778447743930,risk_backfave
SETTLED,411617683407,1.251445864,63056306,0.0,BACK,1.22,2.0,0.0,0.44,0.0,0.44,,2025-12-08 09:20:15+00:00,2025-12-08 12:36:26+00:00,bcd7950339dcf-139844784155973105,risk_backfave
