status,bet_id,market_id,selection_id,handicap,side,avg_price_matched,size_matched,size_remaining,gross_profit,commission,net_pnl,mtm_green_pnl,placed_date,settled_date,customer_order_ref,customer_strategy_ref
SETTLED,404708283829,1.248715088,37303,0.0,BACK,1.08,2.0,0.0,0.16,0.0,0.16,,2025-10-09 17:49:18,2025-10-09 17:55:49,bcd7950339dcf-139793249588084290,risk_backfave
SETTLED,404708451049,1.248715088,37303,0.0,BACK,1.05,2.0,0.0,0.1,0.0,0.1,,2025-10-09 17:51:55,2025-10-09 17:55:49,bcd7950339dcf-139793251154008940,risk_backfave
SETTLED,404708469976,1.248715088,37303,0.0,BACK,1.06,2.0,0.0,0.12,0.0,0.12,,2025-10-09 17:52:10,2025-10-09 17:55:49,bcd7950339dcf-139793251303311860,risk_backfave
SETTLED,404667467350,1.248715087,37302,0.0,BACK,1.09,2.0,0.0,0.18,0.0,0.18,,2025-10-09 09:41:44,2025-10-09 17:10:43,bcd7950339dcf-139792957042715760,risk_backfave
SETTLED,404668090306,1.248715087,37302,0.0,BACK,1.1,2.0,0.0,0.2,0.0,0.2,,2025-10-09 09:49:34,2025-10-09 17:10:43,bcd7950339dcf-139792961740556780,risk_backfave
SETTLED,404668215751,1.248715087,37302,0.0,BACK,1.13,2.0,0.0,0.26,0.0,0.26,,2025-10-09 09:51:29,2025-10-09 17:10:43,bcd7950339dcf-139792962892086340,risk_backfave
SETTLED,404668473704,1.248715087,37302,0.0,BACK,1.11,2.0,0.0,0.22,0.0,0.22,,2025-10-09 09:55:26,2025-10-09 17:10:43,bcd7950339dcf-139792965266036430,risk_backfave
SETTLED,404669461068,1.248715087,37302,0.0,BACK,1.11,2.0,0.0,0.22,0.0,0.22,,2025-10-09 10:06:49,2025-10-09 17:10:43,bcd7950339dcf-139792972098767170,risk_backfave
SETTLED,404669547228,1.248715087,37302,0.0,BACK,1.15,2.0,0.0,0.3,0.0,0.3,,2025-10-09 10:07:54,2025-10-09 17:10:43,bcd7950339dcf-139792972746961210,risk_backfave
SETTLED,404669640232,1.248715087,37302,0.0,BACK,1.1,2.0,0.0,0.2,0.0,0.2,,2025-10-09 10:09:13,2025-10-09 17:10:43,bcd7950339dcf-139792973532450870,risk_backfave
SETTLED,404669699132,1.248715087,37302,0.0,BACK,1.13,2.0,0.0,0.26,0.0,0.26,,2025-10-09 10:10:01,2025-10-09 17:10:43,bcd7950339dcf-139792974013057530,risk_backfave
SETTLED,404671196903,1.248715087,37302,0.0,BACK,1.09,2.0,0.0,0.18,0.0,0.18,,2025-10-09 10:30:08,2025-10-09 17:10:43,bcd7950339dcf-139792986085090800,risk_backfave
SETTLED,404674957108,1.248715087,37302,0.0,BACK,1.05,2.0,0.0,0.1,0.0,0.1,,2025-10-09 11:18:31,2025-10-09 17:10:43,bcd7950339dcf-139793015113256810,risk_backfave
SETTLED,404673447831,1.248733209,104483,0.0,BACK,1.02,2.0,0.0,-2.0,0.0,-2.0,,2025-10-09 10:59:04,2025-10-09 13:50:16,bcd7950339dcf-139793003442244340,risk_backfave
